Word	Definition
talk	n./v. 谈话；讲话；演讲；交谈
teach	v. 教书；教
teacher	n. 教师；教员
tell	v. 告诉；讲述；吩咐
test	v./n. 测试； 考查；试验
than	conj. 比
that	adj./pron.那；那个；conj. 那；那个；adv. 那么；那样
the	art. 这（那）个；这（那）些
their	pron. 他（她；它）们的
them	pron. 他/她/它们（宾格）
these	adj./pron. 这些
they	pron. 他（她）们；它们
thing	n. 东西；（复）物品；用品；事情；事件
think	v. 想；认为；考虑
this	adj./pron.这；这个
those	adj./pron. 那些
though	conj. 虽然；可是
through	prep. 穿（通）过；从始至终；adv. 穿（通）过；自始至终；全部
time	n. 时间；时期；钟点；次；回；v. 测定......的时间；记录......的时间
tired	adj. 疲劳的；累的
to	prep. 给；对；向；到
true	adj. 真的；真实的；忠诚的
try	v. 试；试图；努力
turn	v. 旋转；翻转；转变；转弯；n. 轮流；顺序
under	adv./prep. 在......下面；向......下面
understand	v. 懂得；明白；理解
unless	conj. 如果不；除非
until	prep./conj. 直到......为止
us	pron. 我们（宾格）
use	v. 使用；利用；n. 用法；用途
visit	n./v. 参观；访问；拜访
wait	v. 等；等候
walk	n./v. 步行；散步
want	v. 想；想要；需要；必要
warm	adj. 暖和的；温暖的；热情的
watch	v. 观看；注视；当心；注意；n. 手表；表
water	n. 水v. 浇水
way	n. 路；路线；方式；手段
we	pron. 我们
weak	adj. 差的；弱的；淡的
what	pron. 什么；怎么样；adj. 多么；何等；什么
when	conj. 当......的时候；adv. 什么时候；何时
where	adv. 在哪里；往哪里
which	pron. 哪一个；哪些
while	conj. 在......的时候；和......同时；n. 一会儿；一段时间
who	pron. 谁
whose	pron. 谁的
why	adv./interj. 为什么； 你难道不知道（表示反驳、不耐烦等）
will	modal v. 将；会；愿意；n. 意志
wish	n. 愿望；祝愿；v. 希望；想要；祝愿
with	prep.关于；带有；以；和；用；有
without	prep. 没有
word	n. 词；单词；话
work	n. 工作；劳动；事情；v. 工作；（机器、器官等）运转；活动
worried	adj. 担心的；焦虑的
would	modal v. 将会；愿意；常用于礼貌请求
write	v. 写；书写；写作
wrong	adj. 错误；不正常；有毛病的
year	n. 年
you	pron. 你；你们
young	adj. 年轻的
your	pron. 你的；你们的
